Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A518499,OWNER SUR,04/27/2024,DJ,OTHER,NO AGE,SMALL,GREEN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A518499&location=MONT,
A523470,OWNER SUR,09/15/2024,NORMAN,OTHER,3 YEARS,MED,TRICOLOR,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523470&location=MONT,
A523467,OWNER SUR,09/15/2024,RODNEY,OTHER,3 YEARS,MED,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523467&location=MONT,
A523469,OWNER SUR,09/15/2024,DEXTER,OTHER,3 YEARS,MED,AGOUTI / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523469&location=MONT,
A476852,OWNER SUR,09/09/2024,TAZ,DOG,6 YEARS,MED,BLACK,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A476852&location=MONT,
A478355,OWNER SUR,09/12/2024,T-REX,DOG,8 YEARS,LARGE,BROWN / WHITE,AM PIT BULL TER / LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A478355&location=MONT,
A425626,OWNER SUR,09/17/2024,TOBY,DOG,8 YEARS,LARGE,TAN / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A425626&location=MONT,
A522396,OWNER SUR,08/20/2024,*CASHMERE,DOG,3 YEARS,MED,TAN / WHITE,FEIST / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522396&location=MONT,
A524085,OWNER SUR,09/29/2024,*SSSSLEET,OTHER,NO AGE,MED,BROWN / BLACK,SNAKE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524085&location=MONT,
A524084,OWNER SUR,09/29/2024,*SSSSNOWY,OTHER,NO AGE,MED,BROWN / BLACK,SNAKE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524084&location=MONT,
A517854,OWNER SUR,08/26/2024,MUSSA,DOG,4 YEARS,MED,SABLE,BELG MALINOIS,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517854&location=MONT,
A524086,OWNER SUR,09/29/2024,*MISSSSTY,OTHER,NO AGE,MED,BROWN / BLACK,SNAKE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524086&location=MONT,
A522314,FOSTER,09/30/2024,*VESTER,DOG,2 YEARS,MED,BROWN / WHITE,AKITA / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522314&location=MONT,
A517709,RETURN,09/19/2024,REMY,DOG,1 YEAR 6 MONTHS,LARGE,TAN / WHITE,MASTIFF / AMER BULLDOG,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A517709&location=MONT,
A523472,OWNER SUR,09/15/2024,RUE,OTHER,1 YEAR 1 MONTH,MED,SILVER,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523472&location=MONT,
A523471,OWNER SUR,09/15/2024,SUMMER,OTHER,1 YEAR 1 MONTH,MED,BROWN,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523471&location=MONT,
A523315,OWNER SUR,09/11/2024,HUNCHO,DOG,1 YEAR 6 MONTHS,MED,TAN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523315&location=MONT,
A523475,OWNER SUR,09/15/2024,RUBY,OTHER,1 YEAR 1 MONTH,MED,WHITE / BROWN,RAT,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523475&location=MONT,
A523468,OWNER SUR,09/15/2024,SONIC,OTHER,1 YEAR 1 MONTH,MED,BROWN / WHITE,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523468&location=MONT,
A523058,OWNER SUR,09/05/2024,PHIL,CAT,12 YEARS,X-LRG,GRAY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523058&location=MONT,
A512748,OWNER SUR,07/08/2024,MISSY,DOG,1 YEAR 11 MONTHS,LARGE,BRINDLE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A512748&location=MONT,
A523106,FOSTER,10/02/2024,*SHIRLEY,DOG,1 YEAR 1 MONTH,MED,BROWN / WHITE,ALASKAN HUSKY,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523106&location=MONT,
A523105,FOSTER,10/02/2024,*LAVERNE,DOG,1 YEAR 1 MONTH,MED,BROWN / WHITE,ALASKAN HUSKY,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523105&location=MONT,
A510411,OWNER SUR,10/01/2024,GEORGIA,CAT,14 YEARS,X-LRG,BRN TABBY / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A510411&location=MONT,
A510410,OWNER SUR,10/01/2024,VINCENT,CAT,14 YEARS,X-LRG,BLACK / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A510410&location=MONT,
A508644,OWNER SUR,06/30/2024,JULIET,DOG,2 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A508644&location=MONT,
A524255,EUTH REQ,10/03/2024,LUNA,OTHER,3 YEARS,MED,BROWN,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524255&location=MONT,
A516562,OWNER SUR,08/09/2024,ROCKY,DOG,2 YEARS,MED,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A516562&location=MONT,
A524295,OWNER SUR,10/05/2024,*CONNIE,OTHER,3 YEARS,SMALL,BROWN,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524295&location=MONT,
A523169,OWNER SUR,09/08/2024,*JERSEY MIKE,DOG,9 MONTHS,MED,BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523169&location=MONT,
A524094,OWNER SUR,09/29/2024,*ZOMBIE CAT,CAT,2 YEARS,MED,TORTIE / GRAY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524094&location=MONT,
A524093,OWNER SUR,09/29/2024,*SKELECAT,CAT,3 YEARS,MED,ORANGE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524093&location=MONT,
A524311,OWNER SUR,10/05/2024,MAX,OTHER,5 YEARS,SMALL,BLONDE,RABBIT SH,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524311&location=MONT,
A524294,OWNER SUR,10/05/2024,*CEE CEE,OTHER,6 YEARS,SMALL,BROWN,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524294&location=MONT,
A524170,OWNER SUR,10/01/2024,CUPCAKE,OTHER,5 YEARS,LARGE,BLACK,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524170&location=MONT,
A520093,RETURN,10/06/2024,*IGGY,DOG,1 YEAR 2 MONTHS,MED,CHOCOLATE / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520093&location=MONT,
A523228,CONFISCATE,09/09/2024,*ROMAN 1,BIRD,NO AGE,MED,BLACK / WHITE,TURKEY,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523228&location=MONT,
A522194,OWNER SUR,08/15/2024,HATCHI,DOG,10 MONTHS,MED,BROWN / WHITE,AUST SHEPHERD / LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A522194&location=MONT,
A524293,OWNER SUR,10/05/2024,*CAREN,OTHER,6 YEARS,SMALL,BROWN,TURTLE,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524293&location=MONT,
A488833,OWNER SUR,09/01/2024,KANE,DOG,3 YEARS,LARGE,BRINDLE / WHITE,BOXER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A488833&location=MONT,
A433059,OWNER SUR,09/12/2024,MR. PICKLES,DOG,7 YEARS,MED,BROWN / WHITE,SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A433059&location=MONT,
A523872,BOARDING,09/23/2024,*DOVE,CAT,2 YEARS,MED,TORTIE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523872&location=MONT,
A520705,STRAY,07/07/2024,*BULLET,DOG,1 YEAR 3 MONTHS,LARGE,GRAY / WHITE,AKITA / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A520705&location=MONT,"18400 GUILDBERRY DR, GAITHERSBURG MD 20879"
A523945,STRAY,09/25/2024,*GRUMPY,OTHER,NO AGE,SMALL,WHITE,HAMSTER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523945&location=MONT,"7700 DEMOCRACY BLVD, BETHESDA MD 20817"
A523946,STRAY,09/25/2024,*DOPEY,OTHER,NO AGE,SMALL,WHITE,HAMSTER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523946&location=MONT,"7700 DEMOCRACY BLVD, BETHESDA MD 20817"
A523944,STRAY,09/25/2024,*DOC,OTHER,NO AGE,SMALL,WHITE,HAMSTER,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523944&location=MONT,"7700 DEMOCRACY BLVD, BETHESDA MD 20817"
A524077,STRAY,09/28/2024,*JULIUS,OTHER,1 YEAR,SMALL,WHITE / GRAY,RABBIT SH,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524077&location=MONT,"14700 CLAUDE LN, SILVER SPRING MD 20905"
A523915,STRAY,09/24/2024,*JOE,DOG,1 YEAR 1 MONTH,MED,BRINDLE / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523915&location=MONT,"400 BLOCK OF WEST SIDE DR, GAITHERSBURG MD 20878"
A521124,STRAY,07/18/2024,*CHANEL,DOG,3 YEARS,LARGE,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A521124&location=MONT,"8000 GEORGIA AVE, SILVER SPRING MD 20910"
A523515,STRAY,09/16/2024,*TIRAMISU,DOG,4 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A523515&location=MONT,"3200 SPARTAN RD, OLNEY MD 20832"
